what,kind,bundleId,bundleVersion,description,time
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1766654770617
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766654777205
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766654777889
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1766654777901
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1766654778813
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1766654778895
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1766654778895
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1766654778905
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766654779969
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766654892620
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766654902989
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766654948794
error,log,,,"Core exception while retrieving the content description",1766654952982
error,log,,,"Core exception while retrieving the content description",1766654952984
error,log,,,"Core exception while retrieving the content description",1766654952984
error,log,,,"Core exception while retrieving the content description",1766654952986
error,log,,,"Core exception while retrieving the content description",1766654952988
error,log,,,"Core exception while retrieving the content description",1766654952988
error,log,,,"Core exception while retrieving the content description",1766654952988
error,log,,,"Core exception while retrieving the content description",1766654952992
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1766654954488
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1766654955747
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1766654955849
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766654984846
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766654986052
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766654987351
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1766654998454
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766655002532
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766655006090
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1766655010043
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766655012487
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766655015031
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1766655020849
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766655027152
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766655038006
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1766655039043
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1766655039043
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766655039963
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766655209956
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766655224249
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766655234442
error,log,,,"Core exception while retrieving the content description",1766655235556
error,log,,,"Core exception while retrieving the content description",1766655235556
error,log,,,"Core exception while retrieving the content description",1766655235556
error,log,,,"Core exception while retrieving the content description",1766655235556
error,log,,,"Core exception while retrieving the content description",1766655235556
error,log,,,"Core exception while retrieving the content description",1766655235556
error,log,,,"Core exception while retrieving the content description",1766655235556
error,log,,,"Core exception while retrieving the content description",1766655235556
